,quote,author,author_id,tags
0,The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking,,/author/Albert-Einstein,"change,deep-thoughts,thinking,world"
1,"It is our choices, Harry, that show what we truly are, far more than our abilities.”It is our choices, Harry, that show what we truly are, far more than our abilities",,/author/J-K-Rowling,"abilities,choices"
2,There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle,,/author/Albert-Einstein,"inspirational,life,live,miracle,miracles"
3,"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid",,/author/Jane-Austen,"aliteracy,books,classic,humor"
4,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring",,/author/Marilyn-Monroe,"be-yourself,inspirational"
5,Try not to become a man of success. Rather become a man of value.”Try not to become a man of success. Rather become a man of value,,/author/Albert-Einstein,"adulthood,success,value"
6,It is better to be hated for what you are than to be loved for what you are not.”It is better to be hated for what you are than to be loved for what you are not,,/author/Andre-Gide,"life,love"
7,"I have not failed. I've just found 10,000 ways that won't work.”I have not failed. I've just found 10,000 ways that won't work",,/author/Thomas-A-Edison,"edison,failure,inspirational,paraphrased"
8,A woman is like a tea bag; you never know how strong it is until it's in hot water.”A woman is like a tea bag; you never know how strong it is until it's in hot water,,/author/Eleanor-Roosevelt,misattributed-eleanor-roosevelt
9,"A day without sunshine is like, you know, night.”A day without sunshine is like, you know, night",,/author/Steve-Martin,"humor,obvious,simile"
